"Label (Grouping)","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Male!!Estimate","Utah!!Male!!Margin of Error","Utah!!Female!!Estimate","Utah!!Female!!Margin of Error","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","1,236,803","±3,780","55.8%","±0.2","44.2%","±0.2","29,870","±220","38,436","±362","21,243","±172"
"Management, business, science, and arts occupations:","429,502","±4,171","55.3%","±0.4","44.7%","±0.4","45,492","±402","57,397","±719","33,475","±574"
"    Management, business, and financial occupations:","174,638","±2,619","63.2%","±0.6","36.8%","±0.6","51,729","±493","61,901","±701","38,750","±792"
"        Management occupations","117,563","±2,267","68.5%","±0.8","31.5%","±0.8","55,513","±859","63,985","±1,013","41,530","±1,230"
"        Business and financial operations occupations","57,075","±1,473","52.3%","±1.2","47.7%","±1.2","44,889","±892","56,600","±1,416","36,070","±1,051"
"    Computer, engineering, and science occupations:","71,778","±1,706","80.8%","±0.9","19.2%","±0.9","55,882","±957","60,253","±1,047","42,389","±1,980"
"        Computer and mathematical occupations","35,227","±1,201","80.0%","±1.3","20.0%","±1.3","56,238","±1,607","59,706","±2,164","47,049","±3,103"
"        Architecture and engineering occupations","25,504","±1,007","88.4%","±1.5","11.6%","±1.5","61,422","±1,107","63,992","±1,837","35,827","±3,675"
"        Life, physical, and social science occupations","11,047","±703","66.1%","±3.2","33.9%","±3.2","40,877","±1,688","42,327","±4,414","38,070","±3,250"
"    Education, legal, community service, arts, and media occupations:","129,887","±2,443","38.7%","±0.8","61.3%","±0.8","31,818","±569","43,938","±1,170","25,221","±1,089"
"        Community and social services occupations","16,294","±884","43.8%","±2.1","56.2%","±2.1","32,702","±1,280","39,249","±3,171","28,324","±2,459"
"        Legal occupations","11,056","±673","59.3%","±3.0","40.7%","±3.0","68,353","±4,596","99,212","±5,809","44,843","±4,689"
"        Education, training, and library occupations","77,921","±1,741","29.4%","±1.0","70.6%","±1.0","30,070","±976","43,718","±1,756","22,348","±1,506"
"        Arts, design, entertainment, sports, and media occupations","24,616","±1,037","55.3%","±2.2","44.7%","±2.2","27,652","±1,884","38,067","±2,651","18,506","±2,301"
"    Healthcare practitioner and technical occupations:","53,199","±1,467","35.5%","±1.2","64.5%","±1.2","46,258","±799","66,944","±2,591","39,584","±1,255"
"        Health diagnosing and treating practitioners and other technical occupations","36,339","±1,096","37.9%","±1.5","62.1%","±1.5","54,379","±1,380","86,769","±5,288","46,304","±1,030"
"        Health technologists and technicians","16,860","±929","30.5%","±2.3","69.5%","±2.3","28,263","±1,636","32,925","±3,660","26,635","±1,110"
"Service occupations:","185,254","±3,179","42.5%","±0.8","57.5%","±0.8","13,756","±327","18,536","±784","11,516","±245"
"    Healthcare support occupations","23,825","±1,004","16.6%","±1.8","83.4%","±1.8","17,424","±716","17,917","±1,596","17,313","±765"
"    Protective service occupations:","21,577","±1,067","76.2%","±2.0","23.8%","±2.0","37,117","±897","40,676","±1,018","26,145","±2,330"
"        Fire fighting and prevention, and other protective service workers including supervisors","12,199","±775","71.4%","±2.9","28.6%","±2.9","26,418","±1,979","31,140","±1,291","15,924","±3,988"
"        Law enforcement workers including supervisors","9,378","±728","82.4%","±2.6","17.6%","±2.6","44,634","±1,350","46,166","±1,696","37,098","±1,800"
"    Food preparation and serving related occupations","60,001","±1,687","40.0%","±1.4","60.0%","±1.4","10,336","±411","11,502","±852","9,780","±456"
"    Building and grounds cleaning and maintenance occupations","43,966","±1,408","61.5%","±1.6","38.5%","±1.6","13,958","±512","17,911","±1,439","10,010","±721"
"    Personal care and service occupations","35,885","±1,478","20.6%","±1.7","79.4%","±1.7","11,647","±422","16,580","±1,367","10,825","±437"
"Sales and office occupations:","341,109","±3,359","39.1%","±0.5","60.9%","±0.5","24,371","±311","32,408","±494","20,611","±241"
"    Sales and related occupations","146,312","±2,343","53.8%","±0.8","46.2%","±0.8","26,150","±463","40,007","±803","15,168","±513"
"    Office and administrative support occupations","194,797","±2,423","28.1%","±0.6","71.9%","±0.6","23,488","±297","26,196","±645","22,490","±296"
"Natural resources, construction, and maintenance occupations:","129,475","±2,325","96.6%","±0.3","3.4%","±0.3","34,837","±726","35,089","±699","23,858","±2,583"
"    Farming, fishing, and forestry occupations","5,167","±452","81.1%","±3.3","18.9%","±3.3","17,233","±1,393","19,159","±1,629","11,521","±1,951"
"    Construction and extraction occupations","81,009","±1,780","98.0%","±0.3","2.0%","±0.3","32,824","±822","32,930","±848","25,529","±6,458"
"    Installation, maintenance, and repair occupations","43,299","±1,281","95.9%","±0.7","4.1%","±0.7","40,856","±755","41,030","±750","37,613","±4,590"
"Production, transportation, and material moving occupations:","151,463","±2,714","76.1%","±0.8","23.9%","±0.8","28,378","±506","31,795","±353","19,648","±602"
"    Production occupations","79,357","±1,940","70.0%","±1.1","30.0%","±1.1","28,750","±648","32,760","±870","20,634","±521"
"    Transportation occupations","41,555","±1,126","85.6%","±1.2","14.4%","±1.2","35,839","±909","38,170","±951","22,627","±1,739"
"    Material moving occupations","30,551","±1,138","79.1%","±1.8","20.9%","±1.8","19,090","±964","21,159","±802","12,486","±1,756"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","5.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
