"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","16,614,362","±21,043","54.0%","±0.1","46.0%","±0.1","35,112","±101","40,343","±150","30,299","±61"
"Management, business, science, and arts occupations:","6,099,725","±26,124","50.4%","±0.1","49.6%","±0.1","62,609","±120","74,355","±248","52,755","±155"
"    Management, business, and financial occupations:","2,479,187","±10,889","54.9%","±0.2","45.1%","±0.2","66,336","±341","78,004","±575","56,787","±345"
"        Management occupations","1,661,731","±9,014","60.3%","±0.3","39.7%","±0.3","72,804","±418","82,500","±616","60,755","±548"
"        Business and financial operations occupations","817,456","±7,815","43.8%","±0.4","56.2%","±0.4","58,704","±436","67,490","±753","53,294","±290"
"    Computer, engineering, and science occupations:","1,013,879","±9,560","74.1%","±0.3","25.9%","±0.3","80,294","±338","85,022","±401","67,350","±711"
"        Computer and mathematical occupations","475,053","±5,467","74.9%","±0.4","25.1%","±0.4","82,537","±598","86,360","±598","71,998","±875"
"        Architecture and engineering occupations","365,329","±5,356","83.7%","±0.5","16.3%","±0.5","84,152","±572","86,509","±576","71,605","±1,449"
"        Life, physical, and social science occupations","173,497","±3,389","51.6%","±0.8","48.4%","±0.8","62,970","±731","69,699","±1,863","56,879","±1,714"
"    Education, legal, community service, arts, and media occupations:","1,829,135","±12,842","39.5%","±0.3","60.5%","±0.3","45,061","±328","54,344","±306","40,238","±332"
"        Community and social services occupations","248,368","±3,743","36.5%","±0.7","63.5%","±0.7","43,031","±379","44,143","±813","42,484","±489"
"        Legal occupations","213,226","±3,542","49.7%","±0.7","50.3%","±0.7","86,144","±1,084","116,631","±2,810","66,941","±1,445"
"        Education, training, and library occupations","927,075","±9,404","29.2%","±0.3","70.8%","±0.3","40,994","±397","53,250","±481","35,575","±490"
"        Arts, design, entertainment, sports, and media occupations","440,466","±5,136","58.0%","±0.6","42.0%","±0.6","42,578","±495","49,087","±913","35,256","±779"
"    Healthcare practitioner and technical occupations:","777,524","±6,399","31.1%","±0.3","68.9%","±0.3","66,432","±681","81,115","±917","62,889","±367"
"        Health diagnosing and treating practitioners and other technical occupations","551,241","±5,612","31.2%","±0.4","68.8%","±0.4","81,237","±529","103,775","±1,481","74,689","±556"
"        Health technologists and technicians","226,283","±3,295","30.7%","±0.8","69.3%","±0.8","41,196","±365","43,974","±889","40,129","±444"
"Service occupations:","3,048,332","±14,483","46.4%","±0.2","53.6%","±0.2","18,748","±110","22,380","±116","15,886","±107"
"    Healthcare support occupations","334,623","±4,178","17.1%","±0.5","82.9%","±0.5","24,805","±334","26,115","±516","24,481","±335"
"    Protective service occupations:","369,984","±4,344","80.5%","±0.4","19.5%","±0.4","54,062","±793","59,484","±1,359","42,006","±1,340"
"        Fire fighting and prevention, and other protective service workers including supervisors","216,141","±3,394","80.7%","±0.6","19.3%","±0.6","29,624","±677","31,074","±484","23,816","±1,110"
"        Law enforcement workers including supervisors","153,843","±3,301","80.3%","±0.7","19.7%","±0.7","80,937","±707","84,076","±1,080","66,670","±1,595"
"    Food preparation and serving related occupations","885,764","±8,363","50.9%","±0.5","49.1%","±0.5","15,536","±125","17,373","±182","13,778","±153"
"    Building and grounds cleaning and maintenance occupations","731,900","±7,356","60.8%","±0.4","39.2%","±0.4","18,452","±173","21,948","±168","14,496","±180"
"    Personal care and service occupations","726,061","±5,919","22.8%","±0.4","77.2%","±0.4","15,126","±180","19,587","±584","14,282","±170"
"Sales and office occupations:","4,102,112","±16,845","39.9%","±0.2","60.1%","±0.2","30,513","±97","35,128","±257","27,743","±172"
"    Sales and related occupations","1,873,935","±10,911","51.7%","±0.3","48.3%","±0.3","27,834","±315","38,802","±448","20,214","±195"
"    Office and administrative support occupations","2,228,177","±12,835","30.0%","±0.2","70.0%","±0.2","31,428","±99","31,357","±229","31,453","±114"
"Natural resources, construction, and maintenance occupations:","1,552,809","±10,169","93.4%","±0.2","6.6%","±0.2","30,553","±155","31,459","±152","15,087","±347"
"    Farming, fishing, and forestry occupations","261,517","±5,518","74.4%","±0.6","25.6%","±0.6","16,311","±203","18,116","±287","11,873","±256"
"    Construction and extraction occupations","804,866","±6,960","97.8%","±0.1","2.2%","±0.1","31,836","±172","31,890","±176","29,032","±2,708"
"    Installation, maintenance, and repair occupations","486,426","±5,352","96.3%","±0.2","3.7%","±0.2","40,379","±361","40,438","±366","37,846","±2,962"
"Production, transportation, and material moving occupations:","1,811,384","±10,125","76.5%","±0.2","23.5%","±0.2","26,913","±117","30,288","±166","20,397","±136"
"    Production occupations","873,074","±7,889","69.1%","±0.3","30.9%","±0.3","27,275","±145","31,763","±233","20,657","±158"
"    Transportation occupations","518,950","±5,205","88.4%","±0.4","11.6%","±0.4","33,145","±465","34,490","±487","27,220","±504"
"    Material moving occupations","419,360","±5,009","77.4%","±0.5","22.6%","±0.5","20,322","±193","21,716","±216","16,254","±242"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","7.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
