"Label (Grouping)","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Male!!Estimate","Colorado!!Male!!Margin of Error","Colorado!!Female!!Estimate","Colorado!!Female!!Margin of Error","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","2,498,972","±6,444","53.5%","±0.1","46.5%","±0.1","35,627","±185","42,132","±237","29,978","±230"
"Management, business, science, and arts occupations:","991,008","±6,841","50.8%","±0.2","49.2%","±0.2","54,271","±254","67,389","±588","45,183","±396"
"    Management, business, and financial occupations:","423,316","±4,107","56.6%","±0.5","43.4%","±0.5","60,227","±614","69,633","±1,039","51,351","±560"
"        Management occupations","288,018","±3,088","62.5%","±0.6","37.5%","±0.6","63,815","±722","72,576","±1,285","52,828","±732"
"        Business and financial operations occupations","135,298","±2,595","44.1%","±0.8","55.9%","±0.8","54,445","±516","63,569","±1,131","49,641","±1,021"
"    Computer, engineering, and science occupations:","183,468","±3,291","75.0%","±0.6","25.0%","±0.6","73,158","±624","77,673","±983","60,865","±1,365"
"        Computer and mathematical occupations","92,251","±2,270","74.0%","±0.9","26.0%","±0.9","76,063","±782","79,995","±1,112","68,132","±2,091"
"        Architecture and engineering occupations","63,957","±1,813","83.8%","±0.9","16.2%","±0.9","76,069","±1,161","80,018","±1,595","62,156","±3,240"
"        Life, physical, and social science occupations","27,260","±1,200","57.4%","±1.5","42.6%","±1.5","53,619","±1,229","62,210","±2,699","47,035","±2,492"
"    Education, legal, community service, arts, and media occupations:","263,015","±3,251","35.7%","±0.6","64.3%","±0.6","37,739","±553","46,540","±1,042","33,266","±747"
"        Community and social services occupations","38,717","±1,446","37.9%","±1.7","62.1%","±1.7","37,423","±1,108","41,424","±1,192","35,193","±1,116"
"        Legal occupations","30,015","±1,035","46.5%","±1.6","53.5%","±1.6","68,800","±3,112","106,807","±2,776","51,913","±1,509"
"        Education, training, and library occupations","139,991","±2,815","27.2%","±0.7","72.8%","±0.7","34,806","±841","43,177","±1,160","31,174","±776"
"        Arts, design, entertainment, sports, and media occupations","54,292","±1,377","50.0%","±1.5","50.0%","±1.5","33,989","±1,388","41,512","±1,902","26,851","±1,162"
"    Healthcare practitioner and technical occupations:","121,209","±2,263","26.8%","±1.0","73.2%","±1.0","54,907","±827","73,508","±2,463","51,360","±713"
"        Health diagnosing and treating practitioners and other technical occupations","88,844","±1,891","27.5%","±1.1","72.5%","±1.1","62,679","±917","94,057","±4,888","57,032","±1,053"
"        Health technologists and technicians","32,365","±1,318","24.9%","±1.9","75.1%","±1.9","36,671","±879","44,560","±3,445","34,949","±1,113"
"Service occupations:","422,317","±4,793","43.7%","±0.5","56.3%","±0.5","17,375","±227","21,492","±288","15,031","±258"
"    Healthcare support occupations","49,437","±1,868","12.7%","±1.1","87.3%","±1.1","23,341","±616","25,840","±1,149","22,997","±644"
"    Protective service occupations:","50,873","±1,675","78.7%","±1.5","21.3%","±1.5","44,495","±1,063","47,944","±1,767","36,302","±1,475"
"        Fire fighting and prevention, and other protective service workers including supervisors","27,854","±1,186","77.2%","±1.8","22.8%","±1.8","31,836","±1,142","33,931","±1,678","25,149","±3,062"
"        Law enforcement workers including supervisors","23,019","±1,238","80.6%","±2.1","19.4%","±2.1","55,830","±1,431","57,349","±1,872","49,446","±3,163"
"    Food preparation and serving related occupations","146,442","±3,053","46.5%","±1.0","53.5%","±1.0","13,692","±284","15,386","±413","12,503","±332"
"    Building and grounds cleaning and maintenance occupations","91,172","±2,202","55.8%","±1.1","44.2%","±1.1","17,126","±445","21,173","±512","13,686","±480"
"    Personal care and service occupations","84,393","±1,943","23.0%","±1.1","77.0%","±1.1","15,038","±405","20,475","±795","13,895","±387"
"Sales and office occupations:","615,048","±5,547","38.7%","±0.4","61.3%","±0.4","30,359","±213","36,944","±524","27,041","±248"
"    Sales and related occupations","280,993","±3,817","52.6%","±0.6","47.4%","±0.6","31,137","±405","41,411","±651","21,733","±617"
"    Office and administrative support occupations","334,055","±3,860","27.0%","±0.5","73.0%","±0.5","29,906","±322","31,604","±521","29,220","±355"
"Natural resources, construction, and maintenance occupations:","245,650","±3,614","95.5%","±0.3","4.5%","±0.3","35,298","±402","35,654","±407","26,616","±2,917"
"    Farming, fishing, and forestry occupations","13,124","±881","79.9%","±2.4","20.1%","±2.4","21,852","±1,254","23,861","±1,354","13,190","±2,872"
"    Construction and extraction occupations","153,045","±2,781","96.9%","±0.3","3.1%","±0.3","32,860","±727","33,037","±744","28,496","±3,506"
"    Installation, maintenance, and repair occupations","79,481","±2,041","95.4%","±0.5","4.6%","±0.5","41,848","±599","41,950","±605","37,711","±6,395"
"Production, transportation, and material moving occupations:","224,949","±3,924","78.0%","±0.5","22.0%","±0.5","30,203","±316","32,207","±347","22,399","±649"
"    Production occupations","96,698","±2,698","72.2%","±1.0","27.8%","±1.0","31,018","±438","34,796","±822","22,158","±576"
"    Transportation occupations","83,145","±1,793","83.2%","±0.8","16.8%","±0.8","33,533","±1,086","35,769","±1,107","26,468","±1,422"
