"Label (Grouping)","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Male!!Estimate","Utah!!Male!!Margin of Error","Utah!!Female!!Estimate","Utah!!Female!!Margin of Error","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","1,265,221","±3,868","55.6%","±0.2","44.4%","±0.2","30,616","±155","39,880","±344","22,053","±176"
"Management, business, science, and arts occupations:","453,972","±3,801","54.7%","±0.4","45.3%","±0.4","47,617","±460","60,303","±648","35,414","±454"
"    Management, business, and financial occupations:","182,388","±2,383","62.9%","±0.7","37.1%","±0.7","53,745","±608","64,138","±892","40,952","±739"
"        Management occupations","122,320","±2,100","68.1%","±0.9","31.9%","±0.9","58,596","±1,313","66,608","±1,290","43,541","±1,341"
"        Business and financial operations occupations","60,068","±1,418","52.4%","±1.2","47.6%","±1.2","46,739","±1,335","57,728","±2,035","38,285","±1,406"
"    Computer, engineering, and science occupations:","76,180","±1,716","80.5%","±1.0","19.5%","±1.0","59,390","±1,252","63,073","±1,100","42,987","±2,451"
"        Computer and mathematical occupations","39,033","±1,096","81.0%","±1.4","19.0%","±1.4","60,305","±1,683","63,674","±1,812","48,225","±3,031"
"        Architecture and engineering occupations","25,798","±1,121","87.9%","±1.5","12.1%","±1.5","63,912","±1,281","66,402","±1,827","41,683","±4,974"
"        Life, physical, and social science occupations","11,349","±689","62.1%","±2.8","37.9%","±2.8","42,561","±2,154","47,530","±3,015","35,931","±1,633"
"    Education, legal, community service, arts, and media occupations:","137,390","±2,349","37.7%","±0.8","62.3%","±0.8","32,743","±642","44,187","±1,074","26,143","±853"
"        Community and social services occupations","17,052","±908","44.4%","±2.4","55.6%","±2.4","35,611","±1,043","40,417","±3,086","31,544","±1,596"
"        Legal occupations","11,655","±664","57.0%","±2.8","43.0%","±2.8","66,419","±4,442","97,134","±9,929","46,058","±4,870"
"        Education, training, and library occupations","83,227","±1,807","28.6%","±0.9","71.4%","±0.9","30,664","±704","43,548","±1,929","24,103","±2,135"
"        Arts, design, entertainment, sports, and media occupations","25,456","±982","54.0%","±2.1","46.0%","±2.1","27,223","±2,179","37,144","±3,739","19,195","±2,642"
"    Healthcare practitioner and technical occupations:","58,014","±1,725","35.0%","±1.3","65.0%","±1.3","49,086","±780","68,882","±3,629","41,779","±846"
"        Health diagnosing and treating practitioners and other technical occupations","40,120","±1,382","37.9%","±1.4","62.1%","±1.4","57,713","±1,438","87,690","±5,086","49,958","±1,236"
"        Health technologists and technicians","17,894","±1,006","28.7%","±2.4","71.3%","±2.4","30,566","±972","38,258","±3,860","28,360","±1,781"
"Service occupations:","197,241","±2,836","43.3%","±0.9","56.7%","±0.9","13,941","±242","17,361","±565","11,934","±246"
"    Healthcare support occupations","26,579","±1,266","16.2%","±1.5","83.8%","±1.5","16,961","±482","18,503","±1,196","16,655","±562"
"    Protective service occupations:","23,146","±1,258","76.2%","±2.0","23.8%","±2.0","38,240","±1,369","41,733","±1,302","27,551","±3,150"
"        Fire fighting and prevention, and other protective service workers including supervisors","13,623","±915","73.2%","±2.6","26.8%","±2.6","26,587","±2,241","30,864","±1,940","17,143","±4,232"
"        Law enforcement workers including supervisors","9,523","±786","80.4%","±2.8","19.6%","±2.8","47,625","±2,122","50,002","±1,838","39,498","±2,185"
"    Food preparation and serving related occupations","63,970","±1,600","41.5%","±1.5","58.5%","±1.5","10,855","±379","12,162","±701","10,078","±457"
"    Building and grounds cleaning and maintenance occupations","46,371","±1,497","63.0%","±1.7","37.0%","±1.7","14,111","±494","16,296","±811","10,936","±867"
"    Personal care and service occupations","37,175","±1,148","20.6%","±1.7","79.4%","±1.7","11,323","±440","14,328","±1,431","10,729","±527"
"Sales and office occupations:","340,288","±3,883","39.8%","±0.6","60.2%","±0.6","25,084","±262","32,171","±448","21,302","±255"
"    Sales and related occupations","145,571","±2,532","54.6%","±0.8","45.4%","±0.8","26,016","±557","39,553","±1,045","15,025","±407"
"    Office and administrative support occupations","194,717","±3,120","28.8%","±0.7","71.2%","±0.7","24,543","±354","26,714","±549","23,619","±416"
"Natural resources, construction, and maintenance occupations:","121,042","±2,197","96.8%","±0.4","3.2%","±0.4","37,081","±700","37,491","±738","23,037","±2,504"
"    Farming, fishing, and forestry occupations","5,260","±569","83.4%","±2.9","16.6%","±2.9","18,061","±2,713","19,924","±2,259","14,781","±4,584"
"    Construction and extraction occupations","72,407","±1,951","97.8%","±0.4","2.2%","±0.4","35,476","±874","35,688","±894","20,920","±6,760"
"    Installation, maintenance, and repair occupations","43,375","±1,271","96.6%","±0.6","3.4%","±0.6","41,862","±785","42,191","±837","32,768","±6,895"
"Production, transportation, and material moving occupations:","152,678","±2,616","76.6%","±0.8","23.4%","±0.8","30,068","±453","33,318","±688","20,884","±527"
"    Production occupations","79,815","±1,999","70.4%","±1.1","29.6%","±1.1","30,404","±459","34,718","±863","21,907","±577"
"    Transportation occupations","42,705","±1,339","86.1%","±1.3","13.9%","±1.3","36,462","±819","39,177","±971","23,893","±3,110"
"    Material moving occupations","30,158","±1,162","79.5%","±1.8","20.5%","±1.8","20,349","±792","22,215","±979","12,711","±1,797"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","5.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
