"Label (Grouping)","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error","Utah!!Women's earnings as a percentage of men's earning!!Estimate","Utah!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","30,941","±137","40,303","±209","22,421","±195","55.6%","±0.6"
"Management, business, science, and arts occupations:","49,208","±571","62,120","±442","36,282","±400","58.4%","±0.7"
"    Management, business, and financial occupations:","55,836","±748","66,479","±906","41,959","±509","63.1%","±1.1"
"        Management occupations","61,377","±675","70,477","±1,037","44,166","±1,745","62.7%","±2.6"
"        Business and financial operations occupations","48,625","±1,445","58,623","±2,365","40,321","±836","68.8%","±3.1"
"    Computer, engineering, and science occupations:","62,439","±930","65,881","±1,130","46,998","±2,734","71.3%","±4.2"
"        Computer and mathematical occupations","63,876","±1,510","66,162","±1,482","53,224","±4,641","80.4%","±7.2"
"        Architecture and engineering occupations","66,862","±1,462","69,489","±1,958","45,132","±7,011","64.9%","±10.3"
"        Life, physical, and social science occupations","46,052","±2,986","50,930","±1,943","36,419","±1,985","71.5%","±4.5"
"    Education, legal, community service, arts, and media occupations:","32,851","±913","45,903","±1,242","25,610","±799","55.8%","±2.3"
"        Community and social services occupations","36,339","±1,494","41,889","±2,429","32,468","±2,098","77.5%","±6.6"
"        Legal occupations","62,771","±4,243","90,556","±8,604","43,533","±2,740","48.1%","±5.4"
"        Education, training, and library occupations","30,080","±1,250","43,529","±2,405","22,744","±1,467","52.3%","±4.4"
"        Arts, design, entertainment, sports, and media occupations","28,008","±2,352","38,876","±3,785","17,133","±1,859","44.1%","±6.7"
"    Healthcare practitioner and technical occupations:","50,014","±1,107","73,578","±3,040","41,513","±895","56.4%","±2.8"
"        Health diagnosing and treating practitioners and other technical occupations","59,279","±1,655","97,018","±6,164","50,954","±778","52.5%","±3.4"
"        Health technologists and technicians","30,584","±934","39,970","±2,826","28,171","±1,587","70.5%","±6.2"
"Service occupations:","13,950","±323","17,133","±477","12,129","±245","70.8%","±2.4"
"    Healthcare support occupations","18,093","±669","20,258","±1,457","17,684","±745","87.3%","±7.5"
"    Protective service occupations:","38,859","±1,735","41,913","±944","22,166","±6,567","52.9%","±15.8"
"        Fire fighting and prevention, and other protective service workers including supervisors","25,982","±1,710","30,733","±1,902","9,627","±1,675","31.3%","±6.1"
"        Law enforcement workers including supervisors","47,426","±1,976","49,215","±2,052","41,725","±3,604","84.8%","±7.9"
"    Food preparation and serving related occupations","11,133","±317","11,719","±495","10,633","±418","90.7%","±5.2"
"    Building and grounds cleaning and maintenance occupations","14,036","±683","16,621","±741","10,986","±630","66.1%","±4.8"
"    Personal care and service occupations","11,442","±381","13,545","±2,277","11,144","±391","82.3%","±13.8"
"Sales and office occupations:","24,856","±311","31,718","±409","21,544","±263","67.9%","±1.1"
"    Sales and related occupations","26,081","±602","39,517","±1,247","15,475","±548","39.2%","±1.8"
"    Office and administrative support occupations","24,252","±313","25,658","±567","23,717","±388","92.4%","±2.6"
"Natural resources, construction, and maintenance occupations:","36,812","±581","37,240","±627","21,451","±2,661","57.6%","±7.2"
"    Farming, fishing, and forestry occupations","18,920","±1,575","19,398","±1,971","14,881","±8,550","76.7%","±46.1"
"    Construction and extraction occupations","35,137","±804","35,415","±756","16,731","±6,453","47.2%","±18.2"
"    Installation, maintenance, and repair occupations","41,900","±862","42,168","±905","29,574","±7,450","70.1%","±17.8"
"Production, transportation, and material moving occupations:","29,455","±644","32,281","±338","21,205","±523","65.7%","±1.8"
"    Production occupations","30,015","±532","33,582","±635","22,374","±775","66.6%","±2.6"
"    Transportation occupations","37,103","±929","40,383","±960","22,413","±1,677","55.5%","±4.4"
"    Material moving occupations","20,785","±710","22,670","±1,111","14,343","±2,368","63.3%","±11.0"
