"Label (Grouping)","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error","Utah!!Women's earnings as a percentage of men's earning!!Estimate","Utah!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","31,349","±130","40,692","±219","23,044","±281","56.6%","±0.7"
"Management, business, science, and arts occupations:","49,781","±515","62,953","±670","36,394","±407","57.8%","±0.9"
"    Management, business, and financial occupations:","56,669","±802","67,115","±1,054","43,128","±812","64.3%","±1.5"
"        Management occupations","61,627","±654","70,713","±1,141","45,826","±1,127","64.8%","±1.9"
"        Business and financial operations occupations","50,044","±1,015","60,412","±1,156","40,967","±817","67.8%","±2.0"
"    Computer, engineering, and science occupations:","63,443","±1,113","67,397","±1,143","45,803","±2,973","68.0%","±4.6"
"        Computer and mathematical occupations","65,856","±1,337","69,084","±1,667","51,154","±1,944","74.0%","±3.2"
"        Architecture and engineering occupations","66,942","±1,517","69,233","±1,905","42,527","±6,563","61.4%","±9.7"
"        Life, physical, and social science occupations","46,160","±2,224","51,267","±2,279","36,889","±4,756","72.0%","±9.9"
"    Education, legal, community service, arts, and media occupations:","32,727","±751","46,380","±1,216","25,422","±906","54.8%","±2.6"
"        Community and social services occupations","35,264","±1,193","43,571","±3,635","30,775","±1,146","70.6%","±6.8"
"        Legal occupations","64,150","±3,885","93,495","±9,695","44,467","±3,537","47.6%","±5.8"
"        Education, training, and library occupations","29,347","±1,822","42,251","±1,902","22,409","±1,361","53.0%","±3.7"
"        Arts, design, entertainment, sports, and media occupations","29,844","±1,876","40,296","±2,613","19,492","±1,941","48.4%","±6.4"
"    Healthcare practitioner and technical occupations:","48,856","±1,471","74,311","±3,620","41,068","±679","55.3%","±2.8"
"        Health diagnosing and treating practitioners and other technical occupations","58,246","±2,154","100,144","±5,458","50,182","±1,019","50.1%","±2.7"
"        Health technologists and technicians","30,168","±942","36,393","±5,785","28,616","±1,593","78.6%","±14.1"
"Service occupations:","14,508","±374","18,404","±807","12,276","±264","66.7%","±3.2"
"    Healthcare support occupations","18,882","±786","20,107","±1,689","18,603","±877","92.5%","±8.8"
"    Protective service occupations:","39,085","±1,848","42,491","±1,688","20,886","±4,513","49.2%","±11.1"
"        Fire fighting and prevention, and other protective service workers including supervisors","26,492","±2,059","31,635","±2,697","9,512","±2,000","30.1%","±7.2"
"        Law enforcement workers including supervisors","47,424","±1,800","49,726","±2,732","39,211","±4,187","78.9%","±9.7"
"    Food preparation and serving related occupations","10,965","±370","11,683","±573","10,366","±411","88.7%","±5.1"
"    Building and grounds cleaning and maintenance occupations","15,486","±570","18,861","±1,345","11,477","±650","60.9%","±5.4"
"    Personal care and service occupations","11,762","±320","13,336","±1,869","11,514","±376","86.3%","±12.6"
"Sales and office occupations:","25,562","±247","32,149","±546","22,011","±238","68.5%","±1.4"
"    Sales and related occupations","27,027","±537","41,029","±698","16,334","±502","39.8%","±1.4"
"    Office and administrative support occupations","24,924","±316","25,854","±577","24,472","±359","94.7%","±2.5"
"Natural resources, construction, and maintenance occupations:","37,174","±648","37,631","±906","20,101","±2,446","53.4%","±6.5"
"    Farming, fishing, and forestry occupations","20,135","±1,211","20,568","±1,078","17,526","±3,509","85.2%","±18.0"
"    Construction and extraction occupations","35,702","±781","36,010","±781","12,483","±6,733","34.7%","±18.6"
"    Installation, maintenance, and repair occupations","42,153","±719","42,387","±888","29,954","±5,776","70.7%","±13.7"
"Production, transportation, and material moving occupations:","30,038","±411","32,405","±435","21,486","±498","66.3%","±1.9"
"    Production occupations","30,502","±430","34,543","±996","22,416","±651","64.9%","±2.7"
"    Transportation occupations","37,642","±1,367","40,713","±914","23,458","±1,535","57.6%","±4.1"
"    Material moving occupations","21,190","±982","23,309","±991","15,580","±1,322","66.8%","±6.3"
