"Label (Grouping)","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error","Colorado!!Women's earnings as a percentage of men's earning!!Estimate","Colorado!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","37,989","±246","44,392","±345","31,973","±156","72.0%","±0.7"
"    Management, business, science, and arts occupations:","57,160","±298","71,552","±564","48,303","±419","67.5%","±0.8"
"        Management, business, and financial occupations:","63,729","±644","74,571","±710","54,410","±640","73.0%","±1.1"
"            Management occupations","67,367","±885","77,216","±1,119","56,298","±998","72.9%","±1.5"
"            Business and financial operations occupations","58,003","±943","68,137","±2,258","52,395","±619","76.9%","±2.7"
"        Computer, engineering, and science occupations:","77,380","±806","82,732","±796","62,813","±1,325","75.9%","±1.8"
"            Computer and mathematical occupations","81,345","±1,031","84,980","±1,258","70,224","±1,869","82.6%","±2.6"
"            Architecture and engineering occupations","79,965","±1,205","83,479","±933","67,302","±1,903","80.6%","±2.6"
"            Life, physical, and social science occupations","56,124","±1,614","63,902","±3,959","49,499","±2,266","77.5%","±5.9"
"        Education, legal, community service, arts, and media occupations:","40,164","±318","47,218","±767","36,320","±394","76.9%","±1.6"
"            Community and social services occupations","41,117","±500","43,613","±1,865","40,243","±649","92.3%","±4.4"
"            Legal occupations","74,118","±2,347","104,203","±4,594","60,328","±2,155","57.9%","±3.2"
"            Education, training, and library occupations","36,896","±396","45,188","±1,082","33,730","±876","74.6%","±2.8"
"            Arts, design, entertainment, sports, and media occupations","34,987","±1,207","40,811","±1,139","29,268","±2,260","71.7%","±5.8"
"        Healthcare practitioner and technical occupations:","56,174","±717","75,559","±3,296","52,289","±484","69.2%","±2.9"
"            Health diagnosing and treating practitioners and other technical occupations","63,980","±949","101,591","±4,284","60,173","±721","59.2%","±2.7"
"            Health technologists and technicians","38,481","±1,827","45,188","±1,994","36,793","±835","81.4%","±3.9"
"    Service occupations:","20,307","±184","23,859","±339","17,304","±250","72.5%","±1.5"
"        Healthcare support occupations","25,368","±472","26,935","±1,267","25,111","±528","93.2%","±4.6"
"        Protective service occupations:","46,892","±1,583","51,059","±1,406","37,140","±2,672","72.7%","±5.7"
"            Fire fighting and prevention, and other protective service workers including supervisors","31,905","±930","36,000","±1,400","20,998","±1,647","58.3%","±4.7"
"            Law enforcement workers including supervisors","60,098","±1,369","62,342","±1,561","52,190","±2,381","83.7%","±4.1"
"        Food preparation and serving related occupations","15,614","±337","18,306","±599","13,476","±415","73.6%","±3.3"
"        Building and grounds cleaning and maintenance occupations","20,098","±351","23,862","±592","16,274","±518","68.2%","±3.0"
"        Personal care and service occupations","17,358","±410","20,598","±1,086","16,609","±453","80.6%","±5.1"
"    Sales and office occupations:","31,663","±199","38,272","±764","28,609","±378","74.8%","±1.7"
"        Sales and related occupations","32,269","±396","42,479","±1,096","22,888","±641","53.9%","±1.9"
"        Office and administrative support occupations","31,293","±250","32,474","±797","30,895","±271","95.1%","±2.4"
"    Natural resources, construction, and maintenance occupations:","37,124","±312","37,468","±493","25,885","±1,152","69.1%","±3.2"
"        Farming, fishing, and forestry occupations","22,611","±1,113","24,361","±1,400","17,470","±2,197","71.7%","±10.2"
"        Construction and extraction occupations","36,288","±382","36,468","±385","25,435","±1,972","69.7%","±5.5"
"        Installation, maintenance, and repair occupations","43,247","±1,176","43,545","±1,262","35,894","±2,481","82.4%","±6.5"
"    Production, transportation, and material moving occupations:","31,909","±256","35,131","±430","24,003","±806","68.3%","±2.5"
"        Production occupations","32,744","±928","36,984","±630","24,319","±922","65.8%","±2.6"
"        Transportation occupations","36,984","±552","39,125","±1,219","27,895","±1,648","71.3%","±4.8"
"        Material moving occupations","23,946","±838","25,380","±869","20,029","±1,187","78.9%","±5.7"
