"Label (Grouping)","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error","California!!Women's earnings as a percentage of men's earning!!Estimate","California!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","38,025","±155","42,548","±237","32,065","±70","75.4%","±0.4"
"    Management, business, science, and arts occupations:","68,571","±212","81,708","±325","58,320","±245","71.4%","±0.4"
"        Management, business, and financial occupations:","74,185","±246","84,749","±333","63,741","±253","75.2%","±0.4"
"            Management occupations","79,812","±429","90,529","±584","66,985","±664","74.0%","±0.9"
"            Business and financial operations occupations","66,255","±558","76,495","±827","60,876","±444","79.6%","±1.0"
"        Computer, engineering, and science occupations:","90,556","±508","96,293","±454","75,239","±824","78.1%","±0.8"
"            Computer and mathematical occupations","95,583","±550","101,071","±542","81,492","±1,087","80.6%","±1.1"
"            Architecture and engineering occupations","93,164","±952","96,258","±701","79,821","±1,373","82.9%","±1.6"
"            Life, physical, and social science occupations","67,687","±1,209","72,849","±1,580","63,051","±998","86.6%","±2.4"
"        Education, legal, community service, arts, and media occupations:","48,464","±336","56,594","±633","42,269","±254","74.7%","±0.9"
"            Community and social service occupations","45,617","±551","46,967","±944","45,004","±644","95.8%","±2.3"
"            Legal occupations","98,575","±2,910","126,793","±1,607","78,266","±1,575","61.7%","±1.4"
"            Educational instruction, and library occupations","41,603","±352","52,936","±582","37,146","±480","70.2%","±1.1"
"            Arts, design, entertainment, sports, and media occupations","46,740","±658","52,984","±542","39,983","±841","75.5%","±1.7"
"        Healthcare practitioners and technical occupations:","71,971","±593","83,544","±678","67,360","±836","80.6%","±1.1"
"            Health diagnosing and treating practitioners and other technical occupations","88,447","±882","107,354","±1,605","83,141","±362","77.4%","±1.1"
"            Health technologists and technicians","42,297","±268","47,667","±1,192","41,071","±324","86.2%","±2.3"
"    Service occupations:","20,954","±69","25,017","±142","17,810","±128","71.2%","±0.6"
"        Healthcare support occupations","21,670","±150","22,859","±627","21,464","±147","93.9%","±2.5"
"        Protective service occupations:","52,275","±869","57,546","±1,613","37,826","±1,601","65.7%","±3.0"
"            Firefighting and prevention, and other protective service workers including supervisors","30,175","±401","31,329","±372","24,477","±1,128","78.1%","±3.7"
"            Law enforcement workers including supervisors","86,813","±975","91,314","±967","72,767","±1,675","79.7%","±2.0"
"        Food preparation and serving related occupations","17,510","±126","20,254","±137","15,380","±154","75.9%","±0.9"
"        Building and grounds cleaning and maintenance occupations","21,674","±131","25,633","±153","16,781","±168","65.5%","±0.7"
"        Personal care and service occupations","17,421","±207","21,240","±409","16,511","±221","77.7%","±1.8"
"    Sales and office occupations:","32,124","±92","38,287","±390","30,119","±102","78.7%","±0.8"
"        Sales and related occupations","30,395","±180","41,114","±278","21,715","±155","52.8%","±0.5"
"        Office and administrative support occupations","34,011","±205","35,321","±270","33,470","±229","94.8%","±1.0"
"    Natural resources, construction, and maintenance occupations:","32,964","±381","35,372","±202","16,964","±259","48.0%","±0.8"
"        Farming, fishing, and forestry occupations","19,354","±230","21,715","±194","14,481","±266","66.7%","±1.3"
"        Construction and extraction occupations","36,210","±280","36,247","±277","32,244","±2,927","89.0%","±8.0"
"        Installation, maintenance, and repair occupations","42,309","±231","42,358","±244","40,632","±1,552","95.9%","±3.8"
"    Production, transportation, and material moving occupations:","28,952","±165","31,481","±101","21,925","±128","69.6%","±0.5"
"        Production occupations","30,883","±141","35,399","±243","23,472","±303","66.3%","±0.9"
"        Transportation occupations","35,794","±280","36,931","±296","27,530","±802","74.5%","±2.2"
"        Material moving occupations","22,012","±159","24,099","±327","18,430","±303","76.5%","±1.6"
